Anio,precio_inicio,precio_fin,precio_minimo,precio_maximo,retorno_medio,volatilidad,jornadas_subida,jornadas_bajada
2004,1.2581939697265625,1.3565024137496948,1.1804006099700928,1.36280620098114,0.00031279105007760177,0.006850069130151596,139,122
2005,1.3470009565353394,1.184104561805725,1.1675559282302856,1.3472912311553955,-0.0005091653008540975,0.00557848259975898,117,142
2006,1.1816978454589844,1.3198009729385376,1.1816978454589844,1.3394052982330322,0.00042911546555638407,0.0048585129778266406,130,130
2007,1.3218945264816284,1.4601097106933594,1.289507269859314,1.4857958555221558,0.00039932152404982795,0.003919301020623483,140,118
2008,1.4620096683502195,1.3979953527450562,1.243904948234558,1.5987977981567385,5.262208546324679e-05,0.02169702144469398,117,126
2009,1.3998936414718628,1.4327058792114258,1.253179907798767,1.5127906799316406,0.00012401636658401844,0.007770415090599339,132,129
2010,1.4389938116073608,1.3301233053207395,1.1922929286956787,1.4523905515670776,-0.0002569888916769423,0.0074434323555200585,131,130
2011,1.3357912302017212,1.2956053018569946,1.289507269859314,1.484406352043152,-7.175824757202568e-05,0.007671578033270361,140,120
2012,1.2960082292556765,1.3227688074111938,1.2061853408813477,1.3477997779846191,9.490106525736598e-05,0.005505855564807618,121,139
2013,1.32013201713562,1.3810056447982788,1.277791976928711,1.3810056447982788,0.00017862436822531165,0.0050960500617923035,142,118
2014,1.3744947910308838,1.2162047624588013,1.215347409248352,1.3930875062942505,-0.0004790619485095817,0.003930135741353601,124,137
2015,1.2098628282546997,1.093398094177246,1.0481630563735962,1.2098628282546997,-0.0003779832489303108,0.007731541098650267,123,138
2016,1.0859060287475586,1.0575296878814695,1.039047360420227,1.1524986028671265,-0.00011394026205181267,0.0052730794396413545,121,140
2017,1.052698016166687,1.1941723823547363,1.0419923067092896,1.2029062509536743,0.0004815112305409071,0.004573089075940024,128,130
2018,1.200494647026062,1.1439945697784424,1.123342990875244,1.2510008811950684,-0.00015442005493384328,0.004487119038081159,135,126
2019,1.1493064165115356,1.120229721069336,1.0899657011032104,1.1554949283599854,-7.55409844170876e-05,0.0032295520892356333,132,128
2020,1.1220825910568235,1.2299896478652954,1.0657345056533811,1.2299896478652954,0.0003677368021559335,0.004676468994399315,136,126
2021,1.218026876449585,1.132502794265747,1.1202975511550903,1.2341108322143557,-0.00031011701914763676,0.0035305607252045968,124,137
2022,1.1373459100723269,1.066075325012207,0.959619164466858,1.1457115411758425,-0.00021356658580461003,0.006159303197871364,124,136
2023,1.0709733963012695,1.1068191528320312,1.0472300052642822,1.123759627342224,0.0001554759000476012,0.004745336766754788,133,127
2024,1.1055831909179688,1.040615200996399,1.0350252389907837,1.1191190481185913,-0.0002286343248098362,0.0036782548432079077,119,143
2025,1.0351860523223877,1.1747292280197144,1.0244431495666504,1.1871408224105835,0.00048436687549689635,0.005029250903830299,127,130
2026,1.175046682357788,1.1384334564208984,1.1354217529296875,1.2017642259597778,-0.00021963644852885386,0.0039571616804486825,59,78
